,Bb1X2,BbMxH,AvgCAHA,MaxC<2.5,MaxCAHH,Avg>2.5,IWCA,SOH,BbAv>2.5,BbMxAHA,VCCH,SOA,IWA,VCH,LBAHH,IdHomeTeam,Max>2.5,B365CD,IdAwayTeam,Avg<2.5,B365<2.5,SJD,BSH,MaxAHA,Time,B365CH,BbAvA,PSCD,BbAv<2.5,Date,MaxD,BWCD,PAHH,BbAvAHA,MaxC>2.5,BSD,SBD,WHCA,B365D,BbAvD,BWCA,BWH,AvgCD,LBAHA,VCA,GBD,PSCA,AvgCA,B365AH,MaxCH,B365CAHA,MaxCD,AvgA,LBD,IWD,GB<2.5,PCAHA,AvgC>2.5,GBAHH,nWeekHome,AHh,AvgAHA,PAHA,PSH,B365C<2.5,LBA,BSA,PCAHH,PC>2.5,WHCD,WHD,GBH,MaxCAHA,WHA,IWH,Max<2.5,B365H,MaxCA,WHH,VCCD,PC<2.5,P<2.5,AvgCAHH,PSD,MaxA,BbMx<2.5,idGame,GBAHA,IWCD,LBAH,AHCh,BbMxA,SOD,B365>2.5,AvgH,nWeekAway,BbAvAHH,SBH,VCD,BWD,IWCH,GBAH,BbMxD,BbOU,B365AHA,BbMx>2.5,GBA,BWCH,B365CA,BbAvH,P>2.5,WHCH,AvgCH,LBH,B365C>2.5,SJA,GB>2.5,PSA,AvgC<2.5,SJH,B365A,B365AHH,BbAHh,AvgD,SBA,VCCA,MaxAHH,year,B365CAHH,BWA,MaxH,AvgAHH,PSCH,BbAH,BbMxAHH
27,,,,,,,,1.12,,,,17.0,12.0,,1.85,22,,,39,,2.62,,,,,,,,,2003-08-27,,,,,,,6.0,,6.5,,,,,2.0,,7.0,,,-2.25,,,,,5.5,6.0,2.65,,,1.8,3,,,,,,12.0,,,,,6.5,1.13,,15.0,1.15,,1.143,,1.11,,,,,,,,Man United_Wolves_2003,2.0,,-2.25,,,7.5,1.44,,3,,1.12,,,,-2.25,,,2.025,,16.0,,,,,,,1.167,,,1.4,,,,15.0,1.875,,,17.0,,,2003,,,,,,,
28,,,,,,,,2.5,,,,2.5,2.4,,2.05,39,,,26,,1.85,,,,,,,,,2003-08-30,,,,,,,3.2,,3.2,,,,,1.8,,3.3,,,0.0,,,,,3.4,3.2,1.85,,,1.75,4,,,,,,2.25,,,,,3.2,2.7,,2.3,2.4,,2.75,,2.62,,,,,,,,Wolves_Portsmouth_2003,2.05,,0.0,,,3.2,1.95,,4,,2.5,,,,0.25,,,1.9,,2.4,,,,,,,2.625,,,1.85,,,,2.375,2.0,,,2.5,,,2003,,,,,,,
29,,,,,,,,1.5,,,,6.0,4.8,,2.1,24,,,2,,2.0,,,,,,,,,2003-08-30,,,,,,,3.5,,3.4,,,,,1.75,,3.55,,,-1.0,,,,,3.4,3.5,1.95,,,2.0,3,,,,,,6.0,,,,,3.4,1.55,,6.0,1.55,,1.533,,1.5,,,,,,,,Newcastle_Birmingham_2003,1.8,,-1.0,,,3.5,1.8,,3,,1.5,,,,-1.0,,,1.825,,6.1,,,,,,,1.5,,,1.75,,,,6.5,2.075,,,6.0,,,2003,,,,,,,
30,,,,,,,,2.1,,,,3.0,3.1,,1.8,23,,,18,,1.8,,,,,,,,,2003-08-30,,,,,,,3.25,,3.25,,,,,2.05,,3.25,,,-0.25,,,,,3.2,3.0,1.85,,,1.85,4,,,,,,3.2,,,,,3.2,2.2,,3.2,2.1,,2.0,,2.0,,,,,,,,Middlesbrough_Leeds_2003,1.95,,-0.25,,,3.25,2.0,,4,,2.1,,,,-0.25,,,2.05,,3.0,,,,,,,2.0,,,1.85,,,,3.4,1.85,,,3.0,,,2003,,,,,,,
31,,,,,,,,1.67,,,,4.5,3.8,,2.0,34,,,15,,1.8,,,,,,,,,2003-08-30,,,,,,,3.25,,3.4,,,,,1.85,,3.4,,,-0.75,,,,,3.2,3.1,1.85,,,1.7,4,,,,,,4.333,,,,,3.2,1.75,,4.33,1.8,,1.6669999999999998,,1.72,,,,,,,,Tottenham_Fulham_2003,2.1,,-0.75,,,3.4,2.0,,3,,1.72,,,,-0.5,,,1.9,,4.4,,,,,,,1.727,,,1.85,,,,5.0,2.0,,,4.33,,,2003,,,,,,,
32,,,,,,,,1.44,,,,6.5,4.8,,1.8,11,,,3,,2.0,,,,,,,,,2003-08-30,,,,,,,3.75,,3.6,,,,,2.05,,3.55,,,-1.25,,,,,3.75,3.5,2.15,,,2.2,3,,,,,,7.0,,,,,3.4,1.53,,6.0,1.55,,1.5,,1.5,,,,,,,,Chelsea_Blackburn_2003,1.65,,-1.0,,,3.75,1.8,,4,,1.44,,,,-1.25,,,1.8,,6.25,,,,,,,1.4,,,1.6,,,,6.5,2.1,,,6.5,,,2003,,,,,,,
33,,,,,,,,2.1,,,,3.0,3.0,,2.0,5,,,10,,1.85,,,,,,,,,2003-08-30,,,,,,,3.25,,3.25,,,,,1.85,,3.3,,,-0.25,,,,,3.2,3.1,1.79,,,1.95,4,,,,,,2.75,,,,,3.25,2.3,,2.75,2.1,,2.3,,2.2,,,,,,,,Bolton_Charlton_2003,1.85,,-0.25,,,3.25,1.95,,4,,2.1,,,,-0.25,,,1.85,,2.8,,,,,,,2.25,,,1.9,,,,2.8,2.05,,,3.0,,,2003,,,,,,,
34,,,,,,,,1.73,,,,4.33,4.0,,,1,,,19,,1.75,,,,,,,,,2003-08-30,,,,,,,3.25,,3.4,,,,,,,3.4,,,-0.75,,,,,3.25,3.2,1.85,,,2.2,4,,,,,,4.5,,,,,3.2,1.7,,4.33,1.75,,1.6669999999999998,,1.72,,,,,,,,Aston Villa_Leicester_2003,1.65,,,,,3.25,2.05,,4,,1.72,,,,-1.0,,,1.825,,4.7,,,,,,,1.6669999999999998,,,1.85,,,,5.0,2.075,,,4.33,,,2003,,,,,,,
35,,,,,,,,2.6,,,,2.6,2.5,,2.05,14,,,20,,1.8,,,,,,,,,2003-08-30,,,,,,,3.2,,3.2,,,,,1.8,,3.1,,,0.0,,,,,3.2,3.0,1.79,,,2.0,4,,,,,,2.5,,,,,3.1,2.65,,2.5,2.5,,2.6,,2.5,,,,,,,,Everton_Liverpool_2003,1.8,,0.0,,,3.25,2.0,,4,,2.5,,,,0.0,,,1.825,,2.55,,,,,,,2.5,,,1.9,,,,2.5,2.075,,,2.5,,,2003,,,,,,,
36,,,,,,,,4.33,,,,1.8,1.7,,2.1,21,,,0,,2.0,,,,,,,,,2003-08-31,,,,,,,3.25,,3.4,,,,,1.75,,3.45,,,0.5,,,,,3.6,3.2,2.15,,,1.5,4,,,,,,1.615,,,,,3.3,4.3,,1.66,4.2,,4.0,,4.5,,,,,,,,Man City_Arsenal_2003,2.4,,0.5,,,3.4,1.8,,4,,4.33,,,,1.0,,,1.825,,1.75,,,,,,,4.333,,,1.6,,,,1.8,2.075,,,1.72,,,2003,,,,,,,
37,,,,,,,,5.0,,,,1.67,1.65,,2.0,30,,,22,,2.05,,,,,,,,,2003-08-31,,,,,,,3.4,,3.4,,,,,1.85,,3.5,,,0.75,,,,,3.5,3.3,2.05,,,1.77,4,,,,,,1.571,,,,,3.5,4.9,,1.57,4.4,,5.0,,5.0,,,,,,,,Southampton_Man United_2003,2.05,,0.75,,,3.6,1.75,,4,,5.0,,,,1.0,,,1.825,,1.65,,,,,,,5.0,,,1.65,,,,1.6669999999999998,2.075,,,1.61,,,2003,,,,,,,
38,,,,,,,,2.38,,,,2.62,2.7,,1.8,14,,,24,,1.9,,,,,,,,,2003-09-13,,,,,,,3.2,,3.2,,,,,2.05,,3.2,,,-1.25,,,,,3.25,3.0,1.9,,,1.8,5,,,,,,2.5,,,,,3.1,2.4,,2.62,2.3,,2.37,,2.37,,,,,,,,Everton_Newcastle_2003,2.0,,0.0,,,3.2,1.9,,4,,2.3,,,,0.0,,,2.1,,2.75,,,,,,,2.4,,,1.8,,,,2.75,1.8,,,2.7,,,2003,,,,,,,
39,,,,,,,,1.22,,,,10.0,8.0,,1.9,0,,,26,,2.25,,,,,,,,,2003-09-13,,,,,,,5.0,,4.5,,,,,1.95,,5.0,,,-1.5,,,,,5.0,4.2,2.25,,,1.85,5,,,,,,10.0,,,,,5.0,1.27,,9.5,1.3,,1.28,,1.22,,,,,,,,Arsenal_Portsmouth_2003,1.95,,-1.5,,,5.0,1.61,,5,,1.22,,,,-1.5,,,2.05,,10.0,,,,,,,1.222,,,1.6,,,,10.0,1.85,,,10.0,,,2003,,,,,,,
40,,,,,,,,2.62,,,,2.38,2.3,,2.05,3,,,20,,1.85,,,,,,,,,2003-09-13,,,,,,,3.2,,3.25,,,,,1.8,,3.2,,,-1.5,,,,,3.2,3.0,1.85,,,2.05,5,,,,,,2.5,,,,,3.1,2.75,,2.4,2.7,,2.8,,2.6,,,,,,,,Blackburn_Liverpool_2003,1.77,,0.0,,,3.2,1.95,,5,,2.62,,,,0.0,,,1.875,,2.4,,,,,,,2.5,,,1.85,,,,2.3,2.025,,,2.37,,,2003,,,,,,,
