,LBAHH,GBAHA,WHD,LBAH,GBAH,IWH,IWA,WHA,SBD,B365<2.5,SOA,B365A,GBD,GBA,B365H,SBA,LBAHA,B365D,LBH,GBAHH,GB<2.5,LBD,GBH,LBA,SOD,WHH,B365>2.5,B365AH,B365AHH,IWD,SOH,GB>2.5,B365AHA,SBH,idGame,nWeekHome,nWeekAway,Date,year,IdHomeTeam,IdAwayTeam
27,1.85,2.0,6.5,-2.25,-2.25,1.15,12.0,15.0,6.0,2.62,17.0,15.0,7.0,16.0,1.143,17.0,2.0,6.5,1.167,1.8,2.65,5.5,1.13,12.0,7.5,1.11,1.44,-2.25,1.875,6.0,1.12,1.4,2.025,1.12,Man United_Wolves_2003,3,3,2003-08-27,2003,13,4
28,2.05,2.05,3.2,0.0,0.25,2.4,2.4,2.3,3.2,1.85,2.5,2.375,3.3,2.4,2.75,2.5,1.8,3.2,2.625,1.75,1.85,3.4,2.7,2.25,3.2,2.62,1.95,0.0,2.0,3.2,2.5,1.85,1.9,2.5,Wolves_Portsmouth_2003,4,4,2003-08-30,2003,4,28
29,2.1,1.8,3.4,-1.0,-1.0,1.55,4.8,6.0,3.5,2.0,6.0,6.5,3.55,6.1,1.5330000000000001,6.0,1.75,3.4,1.5,2.0,1.95,3.4,1.55,6.0,3.5,1.5,1.8,-1.0,2.075,3.5,1.5,1.75,1.825,1.5,Newcastle_Birmingham_2003,3,3,2003-08-30,2003,9,19
30,1.8,1.95,3.2,-0.25,-0.25,2.1,3.1,3.2,3.25,1.8,3.0,3.4,3.25,3.0,2.0,3.0,2.05,3.25,2.0,1.85,1.85,3.2,2.2,3.2,3.25,2.0,2.0,-0.25,1.85,3.0,2.1,1.85,2.05,2.1,Middlesbrough_Leeds_2003,4,4,2003-08-30,2003,25,2
31,2.0,2.1,3.2,-0.75,-0.5,1.8,3.8,4.33,3.25,1.8,4.5,5.0,3.4,4.4,1.6669999999999998,4.33,1.85,3.4,1.7269999999999999,1.7,1.85,3.2,1.75,4.333,3.4,1.72,2.0,-0.75,2.0,3.1,1.67,1.85,1.9,1.72,Tottenham_Fulham_2003,4,3,2003-08-30,2003,6,16
32,1.8,1.65,3.4,-1.0,-1.25,1.55,4.8,6.0,3.75,2.0,6.5,6.5,3.55,6.25,1.5,6.5,2.05,3.6,1.4,2.2,2.15,3.75,1.53,7.0,3.75,1.5,1.8,-1.25,2.1,3.5,1.44,1.6,1.8,1.44,Chelsea_Blackburn_2003,3,4,2003-08-30,2003,30,33
33,2.0,1.85,3.25,-0.25,-0.25,2.1,3.0,2.75,3.25,1.85,3.0,2.8,3.3,2.8,2.3,3.0,1.85,3.25,2.25,1.95,1.79,3.2,2.3,2.75,3.25,2.2,1.95,-0.25,2.05,3.1,2.1,1.9,1.85,2.1,Bolton_Charlton_2003,4,4,2003-08-30,2003,23,29
34,,1.65,3.2,,-1.0,1.75,4.0,4.33,3.25,1.75,4.33,5.0,3.4,4.7,1.6669999999999998,4.33,,3.4,1.6669999999999998,2.2,1.85,3.25,1.7,4.5,3.25,1.72,2.05,-0.75,2.075,3.2,1.73,1.85,1.825,1.72,Aston Villa_Leicester_2003,4,4,2003-08-30,2003,21,27
35,2.05,1.8,3.1,0.0,0.0,2.5,2.5,2.5,3.2,1.8,2.6,2.5,3.1,2.55,2.6,2.5,1.8,3.2,2.5,2.0,1.79,3.2,2.65,2.5,3.25,2.5,2.0,0.0,2.075,3.0,2.6,1.9,1.825,2.5,Everton_Liverpool_2003,4,4,2003-08-30,2003,8,10
36,2.1,2.4,3.3,0.5,1.0,4.2,1.7,1.66,3.25,2.0,1.8,1.8,3.45,1.75,4.0,1.72,1.75,3.4,4.333,1.5,2.15,3.6,4.3,1.615,3.4,4.5,1.8,0.5,2.075,3.2,4.33,1.6,1.825,4.33,Man City_Arsenal_2003,4,4,2003-08-31,2003,3,31
37,2.0,2.05,3.5,0.75,1.0,4.4,1.65,1.57,3.4,2.05,1.67,1.6669999999999998,3.5,1.65,5.0,1.61,1.85,3.4,5.0,1.77,2.05,3.5,4.9,1.571,3.6,5.0,1.75,0.75,2.075,3.3,5.0,1.65,1.825,5.0,Southampton_Man United_2003,4,4,2003-08-31,2003,12,13
38,1.8,2.0,3.1,0.0,0.0,2.3,2.7,2.62,3.2,1.9,2.62,2.75,3.2,2.75,2.37,2.7,2.05,3.2,2.4,1.8,1.9,3.25,2.4,2.5,3.2,2.37,1.9,-1.25,1.8,3.0,2.38,1.8,2.1,2.3,Everton_Newcastle_2003,5,4,2003-09-13,2003,8,9
39,1.9,1.95,5.0,-1.5,-1.5,1.3,8.0,9.5,5.0,2.25,10.0,10.0,5.0,10.0,1.28,10.0,1.95,4.5,1.222,1.85,2.25,5.0,1.27,10.0,5.0,1.22,1.61,-1.5,1.85,4.2,1.22,1.6,2.05,1.22,Arsenal_Portsmouth_2003,5,5,2003-09-13,2003,31,28
40,2.05,1.77,3.1,0.0,0.0,2.7,2.3,2.4,3.2,1.85,2.38,2.3,3.2,2.4,2.8,2.37,1.8,3.25,2.5,2.05,1.85,3.2,2.75,2.5,3.2,2.6,1.95,-1.5,2.025,3.0,2.62,1.85,1.875,2.62,Blackburn_Liverpool_2003,5,5,2003-09-13,2003,33,10
