,SBD,B365D,SBH,LBA,BWD,GBAH,BWH,WHD,LBAHA,B365AHA,GBH,GBD,B365AH,WHA,GBA,IWH,B365H,WHH,LBH,IWA,LBD,GB>2.5,IWD,LBAHH,GB<2.5,B365A,B365AHH,SBA,B365<2.5,GBAHH,GBAHA,LBAH,BWA,B365>2.5,idGame,nWeekHome,nWeekAway,Date,year,IdHomeTeam,IdAwayTeam
27,3.2,3.2,2.6,2.4,3.25,0.5,2.5,3.1,2.08,1.8,2.85,3.2,0.0,2.3,2.4,2.6,2.75,2.75,2.5,2.4,3.25,1.95,3.0,1.76,1.75,2.5,2.1,2.5,1.75,1.51,2.4,0.25,2.55,2.05,West Brom_Tottenham_2004,3,3,2004-08-25,2004,36,34
28,3.2,3.2,2.0,3.75,3.25,-0.25,1.9,3.1,1.72,1.8,2.1,3.25,-0.5,3.0,3.4,2.1,2.0,2.15,1.83,3.1,3.2,1.9,3.0,2.12,1.79,3.75,2.1,3.5,1.8,1.8,2.05,-0.5,3.75,2.0,Tottenham_Birmingham_2004,4,4,2004-08-28,2004,34,2
29,4.0,4.33,7.5,1.4,3.75,1.25,7.0,4.0,1.84,2.0,7.5,4.1,1.25,1.33,1.42,6.0,9.0,8.0,7.0,1.4,3.75,1.65,3.9,2.0,2.05,1.36,1.9,1.4,2.2,1.9,1.95,1.25,1.45,1.65,Norwich_Arsenal_2004,4,4,2004-08-28,2004,25,0
30,3.6,4.0,1.5,6.0,3.45,-1.0,1.55,3.5,1.88,2.1,1.55,3.5,-1.0,5.5,6.5,1.5,1.44,1.53,1.5,5.0,3.4,1.79,3.7,1.96,1.9,7.5,1.8,6.5,1.95,1.85,2.0,-1.25,6.0,1.85,Middlesbrough_Crystal Palace_2004,4,4,2004-08-28,2004,23,12
31,3.2,3.2,2.2,3.2,3.25,-0.25,1.9,3.1,1.98,2.05,2.15,3.25,-0.25,3.1,3.25,2.1,2.25,2.1,2.0,3.1,3.2,1.85,3.0,1.86,1.85,3.1,1.85,3.0,1.85,1.85,2.0,-0.25,3.75,1.95,Man City_Charlton_2004,4,4,2004-08-28,2004,21,10
32,3.25,3.2,1.91,3.5,3.2,-0.25,1.85,2.87,1.84,1.825,2.0,3.25,-0.5,3.5,3.65,2.0,2.0,2.05,1.91,3.2,3.2,1.95,3.1,2.0,1.75,3.75,2.075,3.75,1.75,1.7,2.05,-0.5,4.0,2.05,Everton_West Brom_2004,3,4,2004-08-28,2004,14,36
33,4.5,5.0,1.29,10.0,4.5,-1.75,1.3,4.2,1.82,2.05,1.3,4.7,-1.5,8.5,10.0,1.25,1.28,1.3,1.29,9.0,4.0,1.71,4.5,2.02,2.0,10.0,1.85,10.0,2.05,1.85,1.85,-1.75,9.0,1.75,Chelsea_Southampton_2004,4,4,2004-08-28,2004,11,30
34,3.4,3.4,4.5,1.67,3.2,0.5,4.0,3.0,1.84,1.8,4.2,3.3,0.5,1.83,1.85,3.5,5.0,4.0,4.5,1.9,3.25,1.85,3.1,2.0,1.85,1.72,2.1,1.73,1.9,1.85,1.85,0.5,1.85,1.9,Blackburn_Man United_2004,4,3,2004-08-28,2004,3,22
35,3.2,3.2,2.3,2.8,3.2,0.0,2.25,3.0,1.98,2.1,2.4,3.25,0.0,2.8,2.8,2.3,2.4,2.3,2.2,2.7,3.2,1.95,3.0,1.86,1.75,2.87,1.8,2.88,1.8,1.8,2.05,0.0,2.9,2.0,Aston Villa_Newcastle_2004,4,4,2004-08-28,2004,1,24
36,3.2,3.25,3.0,2.0,3.2,0.25,3.0,3.1,1.84,1.925,3.2,3.2,0.25,2.15,2.2,2.9,3.2,3.0,3.2,2.2,3.2,1.85,3.0,2.0,1.85,2.2,1.975,2.2,1.9,1.95,1.9,0.25,2.2,1.9,Bolton_Liverpool_2004,4,3,2004-08-29,2004,5,20
37,4.5,5.0,1.3,9.0,4.5,-1.25,1.3,4.33,2.02,2.0,1.33,4.5,-1.25,8.5,9.5,1.3,1.28,1.28,1.286,8.0,4.333,1.6,4.2,1.82,2.15,10.0,1.9,9.0,2.1,1.8,2.05,-1.25,9.0,1.7,Man United_Everton_2004,4,4,2004-08-30,2004,22,14
38,3.25,3.25,2.25,2.6,3.2,-0.25,2.3,3.1,,,2.3,3.2,,3.0,3.0,2.2,2.3,2.15,2.38,2.9,3.2,1.9,3.0,,1.79,3.0,,2.88,1.8,2.05,1.8,,2.85,2.0,Portsmouth_Fulham_2004,3,4,2004-08-30,2004,26,15
39,3.4,3.5,1.72,4.0,3.3,-1.0,1.7,3.25,1.74,1.775,1.7,3.4,-0.75,4.2,5.1,1.8,1.8,1.72,1.7269999999999999,3.8,3.4,1.85,3.1,2.1,1.85,4.333,2.125,4.5,1.95,2.2,1.6,-0.75,4.75,1.85,Portsmouth_Crystal Palace_2004,4,5,2004-09-11,2004,26,12
40,3.25,3.1,1.9,3.75,3.2,-0.25,1.8,3.1,1.9,1.975,1.9,3.2,-0.5,3.3,4.2,1.9,1.909,2.0,1.8,3.5,3.25,1.9,3.1,1.94,1.79,4.333,1.925,3.75,1.75,1.65,2.15,-0.5,4.3,2.05,Middlesbrough_Birmingham_2004,5,5,2004-09-11,2004,23,2
41,3.25,3.1,1.9,3.2,3.25,-0.25,1.9,3.2,1.92,1.975,1.9,3.2,-0.5,3.2,4.2,1.8,1.909,2.0,2.0,3.8,3.2,1.85,3.1,1.92,1.85,4.333,1.925,3.75,1.95,1.65,2.15,-0.5,3.75,1.85,Man City_Everton_2004,5,5,2004-09-11,2004,21,14
42,3.4,3.4,1.72,4.5,3.5,-1.0,1.6,2.9,2.0,1.95,1.7,3.4,-0.75,4.5,5.1,1.7,1.6669999999999998,1.8,1.615,4.2,3.5,1.75,3.2,1.84,1.95,5.5,1.95,4.5,2.05,2.05,1.7,-0.75,5.25,1.75,Newcastle_Blackburn_2004,5,5,2004-09-11,2004,24,3
43,3.6,3.6,6.0,1.444,4.0,1.0,7.25,3.5,1.78,1.875,7.5,3.9,1.0,1.44,1.45,4.8,7.0,7.0,6.5,1.55,3.6,1.65,3.5,2.06,2.05,1.5330000000000001,2.025,1.53,2.25,2.05,1.8,1.0,1.4,1.61,Fulham_Arsenal_2004,5,5,2004-09-11,2004,15,0
44,3.25,3.5,3.75,1.8330000000000002,3.3,0.25,3.55,3.2,1.98,2.025,3.8,3.3,0.5,1.9,1.95,3.2,3.75,3.5,3.6,2.0,3.4,1.79,3.1,1.86,1.9,1.909,1.875,1.9,1.85,2.1,1.67,0.5,1.9,1.95,Bolton_Man United_2004,5,5,2004-09-11,2004,5,22
45,4.0,3.75,1.4,7.0,3.55,-1.0,1.5,3.4,2.0,1.95,1.55,3.6,-1.25,6.0,6.5,1.4,1.444,1.5,1.4,6.0,3.75,1.79,3.9,1.84,1.9,8.5,1.95,7.5,2.0,1.67,2.1,-1.25,6.5,1.8,Liverpool_West Brom_2004,4,5,2004-09-11,2004,20,36
46,3.25,3.1,3.75,1.8,3.2,0.25,3.8,3.2,1.9,1.975,3.8,3.3,0.5,1.9,1.95,3.5,4.333,3.5,3.75,1.9,3.25,1.95,3.1,1.94,1.75,1.909,1.925,1.9,1.7,2.05,1.7,0.5,1.9,2.1,Aston Villa_Chelsea_2004,5,5,2004-09-11,2004,1,11
47,3.4,3.5,1.61,5.0,3.55,-1.0,1.5,3.3,1.96,2.025,1.55,3.6,-0.75,5.5,6.5,1.55,1.571,1.57,1.571,4.8,3.5,1.79,3.5,1.88,1.9,6.5,1.875,5.5,1.9,2.05,1.7,-0.75,6.5,1.9,Tottenham_Norwich_2004,5,5,2004-09-12,2004,34,25
48,3.2,3.3,2.0,3.75,3.25,-0.25,1.95,3.3,1.84,2.1,2.0,3.35,-0.25,3.75,3.6,1.9,1.8330000000000002,1.8,1.8330000000000002,3.5,3.2,1.85,3.1,2.0,1.85,4.333,1.8,3.5,1.9,1.8,2.05,-0.5,3.55,1.9,Charlton_Southampton_2004,5,5,2004-09-13,2004,10,30
