,idGame,Date,Referee,Id_Team_Home,Id_Team_Away,nWeekHome,nWeekAway,year,Goals_H,Goals_A,Prob_H_last_3,Prob_D_last_3,Prob_A_last_3,Prob_H_last_6,Prob_D_last_6,Prob_A_last_6,Prob_H_last_10,Prob_D_last_10,Prob_A_last_10,Prob_H_last_infinity,Prob_D_last_infinity,Prob_A_last_infinity,Average_H,Std_dev_H,Average_D,Std_dev_D,Average_A,Std_dev_A,Average_>2.5,Std_dev_>2.5,Average_<2.5,Std_dev_<2.5,Diff_H_last_3,Diff_D_last_3,Diff_A_last_3,Diff_H_last_6,Diff_D_last_6,Diff_A_last_6,Diff_H_last_10,Diff_D_last_10,Diff_A_last_10,Diff_H_last_infinity,Diff_D_last_infinity,Diff_A_last_infinity
100,Man City_Norwich_2015,2015-10-31,R Madley,3,14,11,11,2015,2,1,32.457,1.88,1.252,,,,,,,55.249,1.994,0.961,78.156,1.716,17.283,1.418,8.995,0.991,,,,,-45.699,-15.403,-7.743,,,,,,,-22.907,-15.289,-8.034
101,Newcastle_Stoke_2015,2015-10-31,R East,9,22,11,11,2015,0,0,41.252,27.757,30.94,,,,,,,41.186,24.682,33.973,41.503,0.676,30.036,1.082,32.638,2.426,,,,,-0.251,-2.279,-1.698,,,,,,,-0.317,-5.354,1.335
102,Swansea_Arsenal_2015,2015-10-31,K Friend,0,31,11,11,2015,0,3,8.528,17.619,73.209,,,,,,,23.358,28.132,48.46,20.622,0.914,26.555,1.482,57.525,0.681,,,,,-12.094,-8.936,15.684,,,,,,,2.736,1.577,-9.065
103,Watford_West Ham_2015,2015-10-31,K Stroud,39,5,11,11,2015,2,0,2.801,11.533,84.297,,,,,,,2.646,24.306,72.969,38.747,0.639,30.496,1.115,35.361,1.827,,,,,-35.946,-18.963,48.936,,,,,,,-36.101,-6.19,37.608
104,West Brom_Leicester_2015,2015-10-31,A Taylor,7,27,11,11,2015,2,3,25.265,24.921,49.668,,,,,,,12.998,16.99,68.686,35.654,1.703,30.531,1.285,38.373,0.878,,,,,-10.389,-5.61,11.295,,,,,,,-22.656,-13.541,30.313
105,Crystal Palace_Man United_2015,2015-10-31,M Jones,24,13,11,11,2015,0,0,18.087,20.201,61.069,,,,,,,26.127,23.925,49.737,26.619,2.003,30.042,1.681,47.85,0.444,,,,,-8.532,-9.841,13.219,,,,,,,-0.492,-6.117,1.887
106,Chelsea_Liverpool_2015,2015-10-31,M Clattenburg,30,10,11,11,2015,1,3,58.771,27.173,13.989,,,,,,,39.407,35.852,24.736,47.718,0.261,29.778,1.202,27.139,1.628,,,,,11.053,-2.605,-13.15,,,,,,,-8.311,6.074,-2.403
107,Southampton_Bournemouth_2015,2015-11-01,C Pawson,12,17,11,11,2015,2,0,65.345,6.768,5.466,,,,,,,63.362,12.392,14.202,64.402,0.573,24.171,1.296,16.159,1.465,,,,,0.943,-17.403,-10.693,,,,,,,-1.04,-11.779,-1.957
108,Everton_Sunderland_2015,2015-11-01,A Marriner,8,38,11,11,2015,6,2,81.201,18.623,0.0,,,,,,,58.022,21.443,20.08,66.544,0.548,23.683,1.839,14.336,1.18,,,,,14.657,-5.06,-14.336,,,,,,,-8.522,-2.24,5.744
109,Tottenham_Aston Villa_2015,2015-11-02,M Dean,6,21,11,11,2015,3,1,85.475,9.403,2.614,,,,,,,70.34,19.801,9.477,70.22,0.899,22.082,1.199,12.578,1.127,,,,,15.255,-12.679,-9.964,,,,,,,0.12,-2.281,-3.101
110,Bournemouth_Newcastle_2015,2015-11-07,L Mason,17,9,12,12,2015,0,1,83.077,9.905,3.875,,,,,,,76.24,19.157,4.339,45.081,0.614,29.283,1.56,29.905,1.692,,,,,37.996,-19.378,-26.03,,,,,,,31.159,-10.126,-25.566
111,Stoke_Chelsea_2015,2015-11-07,A Taylor,22,30,12,12,2015,1,0,42.108,21.9,35.475,,,,,,,33.855,25.043,40.965,26.896,1.702,29.654,1.557,48.215,0.582,,,,,15.212,-7.754,-12.74,,,,,,,6.959,-4.611,-7.25
112,Norwich_Swansea_2015,2015-11-07,M Clattenburg,14,0,12,12,2015,1,0,44.071,27.417,28.453,,,,,,,34.471,25.238,40.165,40.336,0.785,30.124,1.23,34.13,1.867,,,,,3.735,-2.707,-5.677,,,,,,,-5.865,-4.886,6.035
113,West Ham_Everton_2015,2015-11-07,P Tierney,5,8,12,12,2015,1,1,50.892,24.873,24.086,,,,,,,21.732,22.113,55.774,38.897,0.626,29.725,1.354,35.891,1.143,,,,,11.995,-4.852,-11.805,,,,,,,-17.165,-7.612,19.883
114,Man United_West Brom_2015,2015-11-07,M Dean,13,7,12,12,2015,2,0,49.752,42.821,7.424,,,,,,,29.925,64.069,6.006,74.475,0.763,20.743,2.217,9.62,1.914,,,,,-24.723,22.078,-2.196,,,,,,,-44.55,43.326,-3.614
115,Leicester_Watford_2015,2015-11-07,R East,27,39,12,12,2015,2,1,7.041,11.93,77.693,,,,,,,33.693,20.586,44.8,54.015,0.425,27.671,1.866,23.315,1.205,,,,,-46.974,-15.741,54.378,,,,,,,-20.322,-7.085,21.485
116,Sunderland_Southampton_2015,2015-11-07,M Jones,38,12,12,12,2015,0,1,23.745,33.258,42.987,,,,,,,22.711,29.029,48.222,21.291,1.705,27.912,1.753,55.481,0.923,,,,,2.454,5.346,-12.494,,,,,,,1.42,1.117,-7.259
117,Aston Villa_Man City_2015,2015-11-08,C Pawson,21,3,12,12,2015,0,0,12.716,45.655,41.628,,,,,,,8.101,25.309,66.502,13.517,1.447,22.181,2.167,69.048,1.05,,,,,-0.801,23.474,-27.42,,,,,,,-5.416,3.128,-2.546
118,Arsenal_Tottenham_2015,2015-11-08,M Atkinson,31,6,12,12,2015,1,1,54.443,27.351,18.14,,,,,,,37.965,32.758,29.267,58.719,1.771,25.669,1.826,20.274,1.123,,,,,-4.276,1.682,-2.134,,,,,,,-20.754,7.089,8.993
119,Liverpool_Crystal Palace_2015,2015-11-08,N Swarbrick,10,24,12,12,2015,1,2,38.7,44.917,16.383,,,,,,,19.618,29.411,50.935,59.902,1.24,26.907,2.095,17.84,1.18,,,,,-21.202,18.01,-1.457,,,,,,,-40.284,2.504,33.095
120,Watford_Man United_2015,2015-11-21,R Madley,39,13,13,13,2015,1,2,16.216,35.631,48.145,18.435,45.532,36.033,,,,19.785,43.842,36.373,24.614,1.23,29.976,1.149,49.612,1.483,,,,,-8.398,5.655,-1.467,-6.179,15.556,-13.579,,,,-4.829,13.866,-13.239
121,Everton_Aston Villa_2015,2015-11-21,M Oliver,8,21,13,13,2015,4,0,69.757,9.646,8.419,61.311,16.936,19.299,,,,63.358,15.376,17.321,63.758,0.677,24.861,1.054,16.137,1.362,,,,,5.999,-15.215,-7.718,-2.447,-7.925,3.162,,,,-0.4,-9.485,1.184
122,West Brom_Arsenal_2015,2015-11-21,M Clattenburg,7,31,13,13,2015,2,1,0.972,2.357,66.175,3.772,8.469,82.423,,,,3.852,8.053,81.522,15.548,1.301,23.761,1.084,65.001,0.656,,,,,-14.576,-21.404,1.174,-11.776,-15.292,17.422,,,,-11.696,-15.708,16.521
123,Man City_Liverpool_2015,2015-11-21,J Moss,3,10,13,13,2015,1,4,58.679,21.943,19.011,63.738,23.376,12.708,,,,66.952,21.073,11.656,59.229,0.724,26.117,1.705,18.483,1.265,,,,,-0.55,-4.174,0.528,4.509,-2.741,-5.775,,,,7.723,-5.044,-6.827
124,Southampton_Stoke_2015,2015-11-21,L Mason,12,22,13,13,2015,0,1,0.0,60.849,39.151,38.929,31.136,29.919,,,,41.495,29.501,28.976,62.185,1.131,26.134,1.514,16.118,1.794,,,,,-62.185,34.715,23.033,-23.256,5.002,13.801,,,,-20.69,3.367,12.858
125,Chelsea_Norwich_2015,2015-11-21,C Pawson,30,14,13,13,2015,1,0,45.731,17.327,32.679,50.437,19.418,28.738,,,,52.966,18.171,26.594,70.648,0.987,21.376,1.016,12.104,0.874,,,,,-24.917,-4.049,20.575,-20.211,-1.958,16.634,,,,-17.682,-3.205,14.49
126,Swansea_Bournemouth_2015,2015-11-21,A Marriner,0,17,13,13,2015,2,2,44.245,27.733,27.969,54.267,23.941,21.593,,,,57.29,22.178,20.179,52.524,0.816,28.715,1.634,22.794,1.618,,,,,-8.279,-0.982,5.175,1.743,-4.774,-1.201,,,,4.766,-6.537,-2.615
127,Newcastle_Leicester_2015,2015-11-21,M Jones,9,27,13,13,2015,0,3,49.106,17.275,29.671,31.89,20.625,46.603,,,,33.929,19.938,44.886,36.153,1.199,28.969,1.215,39.491,0.672,,,,,12.953,-11.694,-9.82,-4.263,-8.344,7.112,,,,-2.224,-9.031,5.395
128,Tottenham_West Ham_2015,2015-11-22,A Taylor,6,5,13,13,2015,4,1,73.023,15.518,9.94,37.624,29.64,32.71,,,,39.829,29.093,31.046,63.588,0.829,24.599,1.761,16.448,1.702,,,,,9.435,-9.081,-6.508,-25.964,5.041,16.262,,,,-23.759,4.494,14.598
