,idGame,nWeekAway,Date,year,IdAwayTeam,FT_against_A,FTG_asA,FT_RESULT,HT_against_A,HTG_asA,HT_RESULT,Referee,Shoot_against_A,Shoot_asA,ShootTarget_against_A,ShootTarget_asA,Fouls_against_A,Fouls_asA,Corner_against_A,Corner_asA,YellowC_against_A,YellowC_asA,RedC_againts_A,RedC_asA,Shoot_asA_last_3,Shoot_asA_last_6,Shoot_asA_last_10,Shoot_asA_last_infinity,ShootTarget_asA_last_3,ShootTarget_asA_last_6,ShootTarget_asA_last_10,ShootTarget_asA_last_infinity,Fouls_asA_last_3,Fouls_asA_last_6,Fouls_asA_last_10,Fouls_asA_last_infinity,Corner_asA_last_3,Corner_asA_last_6,Corner_asA_last_10,Corner_asA_last_infinity,FTG_asA_last_3,FTG_asA_last_6,FTG_asA_last_10,FTG_asA_last_infinity,HTG_asA_last_3,HTG_asA_last_6,HTG_asA_last_10,HTG_asA_last_infinity,YellowC_asA_last_3,YellowC_asA_last_6,YellowC_asA_last_10,YellowC_asA_last_infinity,RedC_asA_last_3,RedC_asA_last_6,RedC_asA_last_10,RedC_asA_last_infinity,FT_against_A_last_3,FT_against_A_last_6,FT_against_A_last_10,FT_against_A_last_infinity,HT_against_A_last_3,HT_against_A_last_6,HT_against_A_last_10,HT_against_A_last_infinity,Shoot_against_A_last_3,Shoot_against_A_last_6,Shoot_against_A_last_10,Shoot_against_A_last_infinity,ShootTarget_against_A_last_3,ShootTarget_against_A_last_6,ShootTarget_against_A_last_10,ShootTarget_against_A_last_infinity,Fouls_against_A_last_3,Fouls_against_A_last_6,Fouls_against_A_last_10,Fouls_against_A_last_infinity,Corner_against_A_last_3,Corner_against_A_last_6,Corner_against_A_last_10,Corner_against_A_last_infinity,RedC_againts_A_last_3,RedC_againts_A_last_6,RedC_againts_A_last_10,RedC_againts_A_last_infinity,YellowC_against_A_last_3,YellowC_against_A_last_6,YellowC_against_A_last_10,YellowC_against_A_last_infinity
24,Newcastle_Norwich_2004,2,2004-08-25,2004,25,2,2,Draw,1,0,Lost,M Halsey,23,13,15,5,17,10,12,6,0,1,0,0,,,,7,,,,2,,,,23,,,,5,,,,1,,,,0,,,,1,,,,0,,,,2,,,,1,,,,17,,,,7,,,,8,,,,11,,,,0,,,,0
25,Arsenal_Blackburn_2004,2,2004-08-25,2004,3,3,0,Lost,0,0,Draw,N Barry,15,3,9,0,11,18,6,5,2,4,0,0,,,,10,,,,6,,,,18,,,,6,,,,2,,,,0,,,,3,,,,0,,,,3,,,,1,,,,13,,,,7,,,,12,,,,3,,,,0,,,,0
26,Charlton_Aston Villa_2004,2,2004-08-25,2004,1,3,0,Lost,2,0,Lost,H Webb,7,9,5,4,6,7,4,12,0,1,0,0,,,,9,,,,4,,,,20,,,,4,,,,1,,,,1,,,,2,,,,0,,,,1,,,,1,,,,14,,,,5,,,,12,,,,12,,,,0,,,,2
27,West Brom_Tottenham_2004,2,2004-08-25,2004,34,1,1,Draw,1,1,Draw,B Knight,4,12,2,6,13,10,4,5,0,0,0,0,,,,15,,,,8,,,,12,,,,3,,,,1,,,,0,,,,2,,,,0,,,,0,,,,0,,,,13,,,,6,,,,10,,,,13,,,,0,,,,1
28,Tottenham_Birmingham_2004,2,2004-08-28,2004,2,1,0,Lost,1,0,Lost,M Clattenburg,6,10,3,2,15,5,2,8,4,1,0,0,,,,16,,,,11,,,,16,,,,4,,,,1,,,,1,,,,4,,,,0,,,,1,,,,1,,,,14,,,,8,,,,13,,,,8,,,,0,,,,2
29,Norwich_Arsenal_2004,2,2004-08-28,2004,0,1,4,Winn,0,3,Winn,G Poll,5,18,5,15,15,5,4,10,1,1,0,0,,,,18,,,,14,,,,19,,,,7,,,,4,,,,2,,,,1,,,,0,,,,1,,,,0,,,,9,,,,5,,,,14,,,,0,,,,0,,,,2
30,Aston Villa_Newcastle_2004,2,2004-08-28,2004,24,4,2,Lost,1,2,Winn,M Riley,16,12,13,10,23,11,9,4,3,1,0,0,,,,11,,,,4,,,,13,,,,7,,,,2,,,,1,,,,1,,,,0,,,,2,,,,0,,,,15,,,,8,,,,16,,,,6,,,,0,,,,3
31,Everton_West Brom_2004,2,2004-08-28,2004,36,2,1,Lost,1,1,Draw,P Walton,16,12,10,8,11,16,7,6,0,1,0,0,,,,4,,,,2,,,,17,,,,5,,,,1,,,,1,,,,0,,,,0,,,,1,,,,0,,,,12,,,,4,,,,15,,,,4,,,,0,,,,1
32,Chelsea_Southampton_2004,2,2004-08-28,2004,30,2,1,Lost,2,1,Lost,S Bennett,16,6,7,2,11,12,9,0,0,4,0,0,,,,6,,,,2,,,,9,,,,6,,,,0,,,,0,,,,0,,,,0,,,,2,,,,2,,,,14,,,,5,,,,14,,,,12,,,,0,,,,0
33,Middlesbrough_Crystal Palace_2004,2,2004-08-28,2004,12,2,1,Lost,0,0,Draw,M Dean,24,6,15,2,16,16,4,2,1,2,0,0,,,,14,,,,8,,,,16,,,,11,,,,1,,,,0,,,,1,,,,0,,,,1,,,,1,,,,14,,,,10,,,,14,,,,6,,,,0,,,,0
