,idGame,nWeekHome,Date,year,IdHomeTeam,FTG_asH,FT_against_H,FT_RESULT,HTG_asH,HT_against_H,HT_RESULT,Referee,Shoot_asH,Shoot_against_H,ShootTarget_asH,ShootTarget_against_H,Fouls_asH,Fouls_against_H,Corner_asH,Corner_against_H,YellowC_asH,YellowC_against_H,RedC_asH,RedC_againts_H,Shoot_asH_last_3,Shoot_asH_last_6,Shoot_asH_last_10,Shoot_asH_last_infinity,ShootTarget_asH_last_3,ShootTarget_asH_last_6,ShootTarget_asH_last_10,ShootTarget_asH_last_infinity,Fouls_asH_last_3,Fouls_asH_last_6,Fouls_asH_last_10,Fouls_asH_last_infinity,Corner_asH_last_3,Corner_asH_last_6,Corner_asH_last_10,Corner_asH_last_infinity,FTG_asH_last_3,FTG_asH_last_6,FTG_asH_last_10,FTG_asH_last_infinity,HTG_asH_last_3,HTG_asH_last_6,HTG_asH_last_10,HTG_asH_last_infinity,YellowC_asH_last_3,YellowC_asH_last_6,YellowC_asH_last_10,YellowC_asH_last_infinity,RedC_asH_last_3,RedC_asH_last_6,RedC_asH_last_10,RedC_asH_last_infinity,FT_against_H_last_3,FT_against_H_last_6,FT_against_H_last_10,FT_against_H_last_infinity,HT_against_H_last_3,HT_against_H_last_6,HT_against_H_last_10,HT_against_H_last_infinity,Shoot_against_H_last_3,Shoot_against_H_last_6,Shoot_against_H_last_10,Shoot_against_H_last_infinity,ShootTarget_against_H_last_3,ShootTarget_against_H_last_6,ShootTarget_against_H_last_10,ShootTarget_against_H_last_infinity,Fouls_against_H_last_3,Fouls_against_H_last_6,Fouls_against_H_last_10,Fouls_against_H_last_infinity,Corner_against_H_last_3,Corner_against_H_last_6,Corner_against_H_last_10,Corner_against_H_last_infinity,RedC_againts_H_last_3,RedC_againts_H_last_6,RedC_againts_H_last_10,RedC_againts_H_last_infinity,YellowC_against_H_last_3,YellowC_against_H_last_6,YellowC_against_H_last_10,YellowC_against_H_last_infinity
28,Sunderland_Man City_2010,2,2010-08-29,2010,32,1,0,Winn,0,0,Draw,M Dean,12,9,4,7,5,9,3,7,0,3,0,0,,,,6,,,,2,,,,13,,,,3,,,,2,,,,1,,,,3,,,,1,,,,2,,,,0,,,,13,,,,7,,,,10,,,,6,,,,0,,,,3
29,Bolton_Birmingham_2010,2,2010-08-29,2010,5,2,2,Draw,0,1,Lost,K Friend,11,9,8,5,19,17,6,1,2,3,1,0,,,,13,,,,9,,,,12,,,,4,,,,0,,,,0,,,,1,,,,0,,,,0,,,,0,,,,12,,,,7,,,,13,,,,8,,,,0,,,,3
30,Man City_Blackburn_2010,2,2010-09-11,2010,21,1,1,Draw,0,1,Lost,M Clattenburg,20,4,14,2,12,10,14,2,2,1,0,0,,,,8,,,,3,,,,13,,,,5,,,,3,,,,1,,,,1,,,,0,,,,0,,,,0,,,,13,,,,7,,,,12,,,,4,,,,0,,,,1
31,West Ham_Chelsea_2010,2,2010-09-11,2010,37,1,3,Lost,0,2,Lost,C Foy,13,17,7,9,13,10,1,5,2,2,0,0,,,,17,,,,10,,,,11,,,,8,,,,1,,,,0,,,,2,,,,0,,,,3,,,,0,,,,12,,,,8,,,,18,,,,5,,,,0,,,,4
32,West Brom_Tottenham_2010,2,2010-09-11,2010,36,1,1,Draw,1,1,Draw,H Webb,15,16,8,9,12,9,9,4,2,1,0,0,,,,11,,,,5,,,,16,,,,4,,,,1,,,,0,,,,2,,,,0,,,,0,,,,0,,,,10,,,,4,,,,12,,,,6,,,,0,,,,2
33,Everton_Man United_2010,2,2010-09-11,2010,14,3,3,Draw,1,1,Draw,M Atkinson,23,13,14,8,11,18,7,5,1,1,0,0,,,,14,,,,6,,,,18,,,,3,,,,1,,,,1,,,,1,,,,0,,,,1,,,,0,,,,9,,,,4,,,,15,,,,3,,,,0,,,,2
34,Fulham_Wolves_2010,2,2010-09-11,2010,15,2,1,Winn,0,1,Lost,P Dowd,13,4,6,2,9,17,6,6,3,6,0,1,,,,16,,,,8,,,,7,,,,5,,,,2,,,,0,,,,2,,,,0,,,,2,,,,1,,,,14,,,,7,,,,6,,,,11,,,,0,,,,2
35,Wigan_Sunderland_2010,3,2010-09-11,2010,38,1,1,Draw,0,0,Draw,A Marriner,17,4,4,2,19,11,5,1,4,2,0,1,,,,28,,,,18,,,,20,,,,6,,,,0,,,,0,,,,2,,,,0,,,,10,,,,4,,,,19,,,,15,,,,18,,,,4,,,,0,,,,3
36,Arsenal_Bolton_2010,2,2010-09-11,2010,0,4,1,Winn,1,1,Draw,S Attwell,23,7,14,6,11,11,9,6,2,2,0,1,,,,26,,,,16,,,,9,,,,8,,,,6,,,,3,,,,0,,,,0,,,,0,,,,0,,,,3,,,,1,,,,3,,,,2,,,,1,,,,0
37,Newcastle_Blackpool_2010,2,2010-09-11,2010,24,0,2,Lost,0,1,Lost,L Mason,16,7,13,4,15,14,3,2,2,3,0,0,,,,20,,,,14,,,,15,,,,10,,,,6,,,,3,,,,3,,,,0,,,,0,,,,0,,,,3,,,,1,,,,12,,,,2,,,,0,,,,1
